CO_Concentration,Humidity,R1_Up_Slope,R1_Down_Slope,R2_Up_Slope,R2_Down_Slope,R3_Up_Slope,R3_Down_Slope,R4_Up_Slope,R4_Down_Slope,R5_Up_Slope,R5_Down_Slope,R6_Up_Slope,R6_Down_Slope,R7_Up_Slope,R7_Down_Slope,R8_Up_Slope,R8_Down_Slope,R9_Up_Slope,R9_Down_Slope,R10_Up_Slope,R10_Down_Slope,R11_Up_Slope,R11_Down_Slope,R12_Up_Slope,R12_Down_Slope,R13_Up_Slope,R13_Down_Slope,R14_Up_Slope,R14_Down_Slope
11.11,49.61,27.02,-6.14,28.62,-6.09,28.14,-7.03,17.27,-3.24,32.05,-6.01,32.8,-6.02,34.31,-6.43,26.58,-4.98,20.75,-4.32,29.34,-4.8,26.43,-4.4,26.68,-4.9,25.74,-4.29,29.75,-4.58
2.22,60.16,32.54,-6.06,37.17,-5.54,49.42,-6.45,18.71,-2.39,46.7,-5.96,44.32,-5.54,41.4,-6.44,23.89,-2.49,14.58,-2.59,19.04,-2.48,17.77,-2.27,11.19,-3.0,13.85,-2.16,17.52,-2.73
13.33,62.13,28.96,-5.39,37.27,-5.44,45.31,-5.91,17.51,-2.19,43.05,-5.5,45.36,-5.56,46.5,-5.94,44.71,-4.39,26.72,-3.74,60.06,-4.8,51.92,-3.92,44.84,-4.31,35.7,-3.72,46.69,-4.67
4.44,51.12,29.71,-5.53,36.33,-5.41,48.06,-6.27,23.93,-3.05,42.35,-5.52,44.06,-5.5,38.39,-6.11,13.44,-2.09,11.57,-2.06,12.41,-1.93,12.07,-1.88,9.32,-2.49,12.45,-1.66,12.34,-2.24
6.67,24.67,35.03,-5.59,40.09,-5.99,56.96,-6.07,29.04,-4.33,50.63,-6.35,48.17,-5.91,51.97,-6.66,41.5,-4.25,26.47,-3.87,38.49,-4.02,23.23,-3.8,32.69,-4.1,29.44,-3.86,34.22,-4.29
0,52.6377,31.62,-6.03,41.71,-6.21,56.28,-5.99,20.47,-3.12,41.64,-6.34,47.13,-5.89,48.3,-6.3,35.19,-3.67,21.97,-3.34,23.65,-3.68,35.45,-2.78,31.82,-3.38,22.61,-2.95,27.43,-3.58
15.56,50.59,32.22,-5.99,38.93,-5.79,52.7,-5.6,24.19,-3.02,40.4,-6.01,43.12,-6.28,49.79,-6.35,62.01,-4.77,44.96,-4.49,55.23,-5.41,70.58,-4.7,52.98,-5.09,56.97,-4.56,53.11,-5.2
8.89,46.48,35.39,-5.63,41.43,-6.17,42.03,-6.54,26.78,-3.42,40.12,-6.24,45.81,-5.73,48.4,-6.45,8.46,-1.97,11.66,-1.77,8.15,-1.71,4.91,-2.38,8.93,-2.13,4.87,-2.02,5.04,-2.66
15.56,37.06,36.83,-5.86,35.08,-6.1,48.86,-6.37,30.71,-3.84,50.68,-6.47,43.64,-6.5,47.34,-6.04,20.65,-3.14,18.54,-2.76,16.4,-2.98,20.21,-2.53,19.11,-2.97,24.25,-2.02,26.8,-2.85
13.33,48.53,35.76,-5.68,42.72,-6.36,58.9,-6.26,26.97,-3.44,48.34,-6.29,50.51,-6.3,42.38,-6.59,11.86,-1.84,12.12,-1.84,8.73,-1.83,6.79,-2.03,9.19,-2.24,5.43,-2.05,6.09,-2.47
15.56,31.72,39.48,-6.28,42.32,-6.17,52.82,-6.74,33.97,-4.24,49.76,-6.21,50.49,-6.18,45.72,-6.95,9.35,-2.45,10.91,-2.18,10.18,-2.08,9.1,-2.11,10.39,-2.47,11.82,-1.84,7.52,-2.77
8.89,58.62,36.32,-5.66,31.57,-6.18,36.01,-6.41,15.28,-2.66,34.4,-6.12,35.43,-6.04,36.67,-6.52,10.17,-2.08,10.03,-2.01,8.54,-1.99,7.21,-2.11,8.1,-2.43,10.56,-1.64,13.13,-2.0
11.11,31.18,38.28,-6.08,35.83,-6.22,37.46,-6.8,38.06,-3.88,57.24,-5.95,43.18,-6.41,43.25,-6.71,21.27,-3.23,17.54,-3.11,22.53,-2.93,24.72,-2.57,20.02,-3.11,20.23,-2.69,23.9,-3.11
0,48.54,34.23,-6.22,38.14,-6.49,43.85,-6.67,22.22,-3.24,41.76,-6.22,41.81,-6.1,52.16,-6.66,13.98,-2.86,16.67,-2.48,14.24,-2.53,14.75,-2.24,13.15,-2.69,14.04,-2.18,16.91,-2.57
15.56,52.11,11.72,-4.3,12.5,-4.37,14.25,-4.83,7.57,-2.37,16.24,-5.24,14.05,-4.69,15.4,-4.65,14.87,-4.1,12.26,-3.71,14.38,-3.92,14.44,-3.81,13.54,-3.84,10.61,-3.37,13.37,-4.12
17.78,41.29,11.3,-4.22,12.74,-4.53,13.59,-4.99,7.88,-2.8,14.7,-4.75,14.04,-4.68,14.08,-4.93,3.54,-1.44,3.53,-1.35,3.12,-1.22,3.24,-1.19,3.61,-1.5,2.71,-1.12,3.24,-1.51
11.11,48.54,11.47,-4.2,13.4,-4.4,14.31,-4.85,6.72,-2.35,13.17,-4.75,13.17,-4.6,13.84,-4.76,3.12,-1.32,3.51,-1.17,2.9,-1.11,2.58,-1.39,3.06,-1.56,2.35,-1.38,2.9,-1.45
0,67.91,11.31,-4.15,13.1,-4.3,12.31,-4.51,4.33,-1.47,11.08,-4.0,12.08,-4.22,12.63,-4.35,5.64,-1.79,4.81,-1.61,5.31,-1.83,4.82,-1.82,5.19,-1.99,4.65,-1.58,5.4,-1.95
11.11,54.13,10.8,-3.96,12.78,-4.4,14.41,-4.58,6.51,-2.01,12.63,-4.28,13.08,-4.23,13.82,-4.76,12.1,-3.62,11.23,-3.14,15.62,-4.5,13.58,-3.69,13.72,-3.84,10.75,-3.15,13.99,-3.8
13.33,58.5583,9.79,-3.88,11.5,-4.01,12.8,-4.69,5.9,-2.1,12.85,-4.15,12.07,-3.96,12.87,-4.5,5.21,-2.0,5.09,-1.81,4.82,-1.85,4.92,-1.56,5.1,-1.99,4.22,-1.45,5.58,-1.92
15.56,26.3,11.07,-4.24,12.43,-4.28,14.25,-5.14,9.47,-3.16,14.04,-4.53,13.35,-4.32,13.83,-4.76,3.9,-1.59,4.06,-1.51,3.72,-1.24,3.08,-1.71,4.0,-1.73,2.94,-1.5,4.26,-1.61
17.78,43.37,11.5,-4.22,13.28,-4.71,13.05,-4.79,7.87,-2.5,14.88,-4.88,14.0,-4.37,13.91,-4.56,3.87,-1.33,3.54,-1.34,3.37,-1.26,3.13,-1.2,3.39,-1.49,2.44,-1.34,3.35,-1.47
2.22,67.42,10.25,-3.97,12.54,-4.36,13.86,-4.67,4.52,-1.57,11.63,-4.18,12.38,-4.3,13.04,-4.47,2.83,-1.49,3.14,-1.11,2.94,-1.12,2.68,-1.4,3.48,-1.41,2.49,-1.33,2.82,-1.51
8.89,50.07,11.21,-4.45,12.85,-4.22,13.55,-4.67,7.33,-2.3,14.45,-4.36,14.42,-4.44,13.01,-4.78,11.82,-3.64,9.99,-3.08,11.54,-3.67,11.54,-3.18,11.06,-3.46,9.03,-2.87,11.32,-3.49
0,67.4,10.63,-4.23,12.26,-4.3,14.52,-4.7,4.53,-1.61,12.69,-4.31,13.32,-4.39,13.25,-4.58,6.61,-2.21,5.55,-1.86,6.04,-2.19,6.22,-1.95,5.98,-2.3,5.32,-1.81,6.31,-2.28
17.78,26.29,11.84,-4.62,14.5,-4.83,14.87,-5.12,9.6,-2.85,16.36,-5.55,13.99,-4.37,15.24,-4.92,15.72,-4.53,12.81,-3.34,15.49,-4.23,13.1,-2.89,13.49,-4.09,11.28,-3.59,13.62,-4.2
4.44,30.08,12.22,-4.84,14.34,-4.78,15.82,-5.1,10.21,-3.19,15.88,-5.04,13.59,-5.12,15.26,-5.0,3.21,-1.47,3.2,-1.23,2.64,-1.16,3.13,-1.15,3.58,-1.48,3.22,-1.16,3.47,-1.25
11.11,43.85,13.74,-4.75,14.38,-4.97,16.03,-5.37,8.44,-2.83,15.73,-5.27,15.37,-4.75,15.88,-5.07,10.4,-3.22,8.63,-2.98,9.79,-3.28,8.56,-3.0,8.93,-2.99,7.54,-2.57,9.4,-3.15
17.78,21.86,12.72,-4.94,14.47,-5.35,15.96,-5.47,10.38,-3.45,16.02,-5.41,14.89,-5.18,16.34,-5.25,5.26,-2.01,5.54,-1.81,4.71,-1.77,4.55,-1.61,4.87,-1.97,4.08,-1.47,5.24,-1.88
4.44,63.92,12.32,-4.89,12.75,-4.45,14.88,-5.12,5.56,-1.76,13.73,-4.65,13.45,-4.42,13.78,-4.44,3.73,-1.12,3.17,-1.22,2.94,-1.15,2.91,-1.33,3.28,-1.61,3.2,-1.17,3.02,-1.48
13.33,53.51,11.66,-4.3,13.39,-4.35,14.92,-5.08,6.95,-2.29,12.76,-4.55,14.08,-4.57,14.81,-4.73,9.77,-2.83,8.98,-2.69,9.93,-3.33,9.12,-2.64,9.11,-3.05,7.36,-2.43,9.59,-3.16
17.78,58.98,11.03,-4.11,12.37,-4.32,14.25,-4.91,6.44,-2.18,14.16,-4.88,13.05,-4.29,12.9,-4.82,5.6,-1.69,4.48,-1.69,4.57,-1.55,4.32,-1.47,4.26,-1.98,3.73,-1.37,4.49,-1.83
11.11,25.13,11.88,-4.36,13.14,-4.87,14.26,-5.14,9.57,-3.4,13.71,-4.95,13.17,-4.6,14.9,-5.13,3.03,-1.54,3.41,-1.28,3.03,-1.16,2.82,-1.27,3.17,-1.61,3.14,-1.13,2.97,-1.49
2.22,19.62,13.38,-5.31,15.14,-5.05,15.97,-5.15,10.63,-3.77,19.36,-5.36,16.98,-5.22,16.27,-5.51,6.87,-2.18,5.73,-2.03,5.88,-1.9,5.46,-1.97,5.65,-2.3,5.57,-2.01,5.97,-2.15
13.33,16.83,11.24,-3.16,17.34,-6.16,19.68,-5.84,14.11,-4.06,18.55,-5.71,20.13,-5.41,19.63,-5.74,11.87,-3.55,9.98,-3.69,13.16,-3.8,11.75,-3.58,12.7,-3.91,10.48,-3.5,12.71,-3.97
2.22,31.61,15.71,-5.76,16.23,-5.33,18.48,-5.87,11.17,-3.67,18.58,-5.35,18.85,-5.43,18.46,-5.4,5.02,-1.79,5.01,-1.75,4.49,-1.59,4.52,-1.7,4.72,-2.28,5.37,-1.82,5.44,-1.82
15.56,41.14,14.81,-5.65,15.85,-5.18,18.05,-5.34,11.06,-3.17,18.08,-5.62,17.65,-5.4,18.46,-5.45,13.09,-3.75,10.8,-3.58,13.06,-3.75,11.66,-3.69,13.37,-3.83,10.48,-3.48,13.38,-3.83
11.11,18.49,15.02,-5.86,11.23,-3.02,18.69,-5.94,12.09,-3.97,16.32,-6.16,16.81,-5.52,16.34,-5.8,4.12,-1.49,4.49,-1.59,3.93,-1.25,3.8,-1.35,3.95,-1.9,4.05,-1.46,4.42,-1.57
20,49.87,14.66,-5.38,16.11,-4.96,16.38,-5.2,8.18,-2.69,15.82,-5.28,14.79,-5.49,16.9,-5.37,7.0,-2.19,6.29,-2.2,5.59,-2.14,5.43,-1.93,5.89,-2.22,5.26,-1.75,6.17,-2.19
2.22,40.06,12.14,-4.73,14.84,-4.86,14.56,-5.25,9.09,-3.03,13.71,-4.94,15.28,-4.7,14.53,-5.24,3.45,-1.09,3.42,-1.2,0.79,-1.75,2.87,-1.1,3.55,-1.28,3.57,-1.21,3.2,-1.3
20,50.35,12.62,-4.92,14.32,-4.93,15.82,-5.03,8.47,-2.65,14.66,-4.97,15.27,-4.7,15.98,-5.16,11.83,-3.83,12.03,-3.77,13.64,-3.99,11.84,-3.65,12.06,-3.77,9.72,-3.04,13.37,-3.85
6.67,43.17,11.4,-4.64,14.47,-5.05,13.18,-5.05,9.09,-3.03,13.24,-4.42,14.73,-4.76,14.36,-5.18,3.25,-1.1,3.26,-1.21,0.72,-1.91,2.31,-1.31,3.31,-1.51,3.12,-1.13,3.01,-1.3
17.78,45.74,13.76,-4.82,13.68,-4.85,15.81,-5.1,8.31,-2.6,16.02,-5.09,15.61,-4.81,15.56,-4.7,10.54,-3.13,8.8,-2.75,8.04,-2.9,8.35,-2.65,9.08,-2.74,6.83,-2.17,8.85,-2.77
0,42.63,11.85,-4.7,12.44,-4.69,13.2,-4.84,7.56,-2.68,13.66,-5.01,14.0,-4.37,13.8,-4.83,3.92,-1.33,3.78,-1.36,2.92,-1.28,3.4,-1.25,3.75,-1.64,3.87,-1.33,4.09,-1.41
13.33,67.54,12.06,-4.42,12.51,-4.37,14.56,-4.93,4.87,-1.55,13.86,-4.47,14.76,-4.61,14.23,-4.98,13.97,-3.69,11.45,-3.25,14.98,-4.38,15.16,-3.95,13.68,-3.88,9.88,-2.94,13.78,-3.94
6.67,70.38,10.52,-4.14,12.22,-4.24,13.56,-4.94,4.18,-1.48,11.66,-4.25,12.87,-4.2,13.09,-4.55,4.91,-1.79,4.17,-1.66,4.08,-1.65,4.42,-1.59,4.84,-1.84,3.98,-1.36,5.15,-1.73
20,54.7332,10.49,-4.22,13.21,-4.76,13.21,-4.62,6.76,-2.33,12.64,-4.42,13.54,-4.58,13.18,-4.68,8.85,-2.85,7.4,-2.67,8.09,-2.61,7.33,-2.21,7.37,-2.58,5.81,-1.9,8.46,-2.73
0,49.78,10.63,-4.22,12.37,-4.32,14.11,-4.86,7.16,-2.39,12.59,-4.34,14.04,-4.61,13.17,-4.91,3.27,-1.13,3.18,-1.15,0.82,-1.89,2.79,-1.13,3.23,-1.5,3.13,-1.15,3.4,-1.25
8.89,59.26,10.96,-4.14,12.92,-4.37,13.63,-4.76,6.38,-2.19,13.14,-4.3,13.93,-4.41,15.16,-4.72,15.15,-4.3,12.05,-3.47,15.39,-4.26,15.93,-3.88,14.38,-4.08,10.7,-3.39,13.58,-4.11
4.44,27.21,11.26,-4.32,13.03,-4.48,13.85,-4.62,9.49,-3.37,14.67,-4.97,14.23,-4.67,15.64,-5.05,7.53,-2.35,7.08,-2.47,7.13,-2.12,6.35,-2.22,7.21,-2.4,5.82,-2.2,7.49,-2.5
13.33,32.58,14.17,-5.2,14.15,-5.25,15.25,-5.17,9.61,-3.21,16.92,-5.02,16.45,-4.74,15.98,-4.49,10.21,-2.94,9.98,-3.07,10.23,-3.41,9.81,-2.97,10.1,-3.16,8.44,-2.68,10.29,-3.17
2.22,58.74,13.14,-4.9,13.84,-4.84,14.96,-4.75,7.49,-2.23,15.35,-4.95,16.17,-5.05,14.38,-4.95,5.69,-2.06,5.43,-1.81,4.6,-1.87,5.19,-1.76,4.86,-2.22,5.16,-1.67,5.68,-2.05
20,24.48,13.99,-5.22,15.49,-5.5,16.14,-5.55,11.36,-3.55,16.79,-5.42,17.68,-5.52,17.39,-5.24,13.43,-3.92,11.24,-3.46,12.79,-3.79,12.88,-3.41,11.15,-3.72,9.93,-3.16,12.77,-3.99
6.67,45.65,13.09,-5.19,13.23,-4.99,15.46,-4.99,8.23,-2.93,16.03,-5.09,15.59,-5.2,15.52,-5.43,2.99,-1.36,3.39,-1.15,0.74,-1.86,2.96,-1.09,3.25,-1.51,3.23,-1.11,3.01,-1.4
15.56,59.2,14.18,-5.2,14.01,-5.2,15.77,-5.34,6.67,-2.19,14.48,-4.6,15.07,-4.87,14.68,-5.29,7.97,-2.96,8.92,-2.7,9.57,-2.99,7.96,-2.65,8.79,-2.75,6.5,-2.34,8.42,-2.95
4.44,61.15,12.64,-4.71,14.65,-4.88,13.33,-4.89,6.76,-2.15,13.34,-4.59,15.43,-4.82,14.63,-4.8,5.13,-1.63,4.82,-1.63,4.34,-1.59,4.2,-1.74,4.79,-1.98,3.84,-1.56,4.49,-1.83
0,26.1,13.41,-5.0,14.33,-4.7,15.42,-4.65,9.98,-3.33,17.61,-5.68,14.01,-4.9,16.12,-5.12,12.04,-3.77,10.21,-3.14,11.09,-3.76,11.19,-3.22,11.33,-3.54,10.38,-3.3,11.03,-3.63
8.89,51.72,14.3,-5.58,14.04,-4.61,15.05,-5.1,8.55,-2.67,16.35,-4.93,16.79,-5.17,16.13,-5.12,15.69,-3.98,14.27,-3.72,15.42,-4.44,15.98,-4.34,14.19,-4.58,12.7,-3.72,14.78,-4.29
6.67,44.59,12.88,-5.04,15.01,-4.86,15.61,-5.31,8.74,-3.07,15.55,-4.88,15.47,-4.7,15.22,-5.18,7.42,-2.48,7.17,-2.32,7.02,-2.35,6.39,-2.28,7.07,-2.48,6.47,-2.17,7.27,-2.55
4.44,47.65,13.29,-4.94,13.13,-4.65,13.6,-4.97,8.71,-2.72,15.33,-4.94,14.2,-4.66,15.23,-4.91,8.6,-2.69,8.12,-2.66,8.53,-2.88,8.14,-2.67,8.89,-2.82,7.85,-2.53,9.27,-2.94
8.89,31.4709,12.28,-5.08,14.49,-4.83,14.05,-5.07,9.88,-3.3,16.59,-5.27,16.97,-5.3,16.76,-5.06,12.13,-3.6,9.65,-3.17,11.1,-3.08,10.26,-3.0,10.95,-3.2,9.45,-3.0,11.04,-3.45
0,51.19,13.7,-5.11,16.02,-5.34,15.81,-5.1,7.54,-2.52,16.0,-4.82,16.56,-5.1,14.7,-5.06,8.05,-2.73,7.24,-2.53,7.44,-2.36,7.38,-2.31,7.95,-2.52,6.75,-2.32,7.26,-2.58
4.44,68.32,12.46,-4.94,13.01,-4.54,15.14,-4.81,5.71,-1.7,14.58,-4.33,16.62,-4.86,15.58,-5.03,15.54,-4.18,11.14,-3.43,15.33,-4.18,16.0,-3.84,15.36,-4.17,11.34,-3.32,15.1,-4.22
8.89,37.82,13.87,-5.09,14.83,-4.79,15.25,-5.17,9.53,-2.94,15.07,-4.79,14.47,-4.39,15.29,-4.86,10.39,-3.2,10.16,-3.24,10.29,-3.44,9.74,-3.1,10.79,-3.38,9.09,-2.84,11.01,-3.45
11.11,50.17,12.36,-4.74,14.1,-4.62,14.71,-5.22,8.43,-2.77,15.14,-5.13,14.24,-4.67,15.8,-5.1,7.41,-2.31,6.82,-2.42,6.71,-2.42,6.36,-2.22,6.85,-2.43,5.61,-2.12,6.96,-2.58
6.67,32.52,12.98,-5.12,13.69,-4.83,15.47,-4.97,9.24,-2.55,17.1,-5.13,16.08,-4.68,14.7,-5.04,6.58,-2.22,5.81,-2.05,5.66,-1.82,5.71,-1.8,5.93,-2.3,5.59,-1.79,6.35,-2.18
4.44,35.7,13.83,-5.39,15.56,-4.86,16.71,-5.75,10.16,-3.39,16.77,-5.68,16.38,-5.12,16.51,-5.24,10.02,-3.18,8.27,-2.89,8.58,-3.1,7.97,-2.83,8.69,-2.95,7.93,-2.69,9.01,-3.0
11.11,30.38,16.27,-5.96,17.26,-5.66,16.76,-5.24,11.21,-3.5,18.33,-5.36,18.36,-5.29,18.92,-5.53,11.38,-3.28,11.06,-3.09,12.03,-3.52,9.94,-2.97,10.67,-3.5,9.0,-3.0,10.66,-3.5
6.67,64.94,14.65,-5.13,14.49,-4.83,15.28,-4.93,5.79,-1.81,15.09,-5.45,15.78,-4.86,15.17,-5.23,6.08,-2.06,5.62,-2.03,5.66,-1.83,5.03,-1.39,5.35,-2.35,4.95,-1.79,5.91,-2.13
8.89,49.14,13.56,-5.06,13.84,-4.84,14.88,-5.12,9.19,-2.73,16.15,-4.87,16.62,-4.86,15.78,-5.17,9.64,-2.82,8.0,-2.84,8.59,-2.91,8.83,-2.76,8.64,-2.93,7.52,-2.55,8.49,-3.06
13.33,29.3,13.66,-5.37,15.87,-5.93,15.18,-5.52,10.34,-3.42,14.45,-4.25,16.32,-4.98,16.67,-5.33,7.63,-2.56,8.0,-2.64,7.27,-2.29,6.51,-2.18,7.3,-2.45,6.29,-2.11,7.46,-2.62
15.56,39.37,14.49,-5.74,16.06,-5.69,16.54,-5.69,10.88,-3.45,17.46,-6.0,16.2,-5.39,16.68,-5.74,5.66,-1.8,5.23,-1.86,4.58,-1.68,4.53,-1.66,5.02,-1.96,4.73,-1.53,5.04,-1.82
8.89,37.28,15.31,-5.64,16.22,-5.69,16.49,-5.61,10.46,-3.45,15.99,-5.36,16.17,-5.33,16.36,-5.2,4.68,-1.59,4.41,-1.65,3.76,-1.18,3.68,-1.48,4.09,-1.99,4.09,-1.46,4.54,-1.62
6.67,30.39,14.06,-5.72,17.88,-5.5,17.16,-5.72,12.12,-3.49,16.99,-5.67,18.12,-5.22,18.19,-5.68,8.08,-2.53,7.87,-2.58,7.23,-2.57,7.05,-2.31,7.8,-2.6,7.62,-2.58,7.95,-2.78
2.22,45.1,15.51,-5.78,17.46,-5.46,16.14,-5.47,10.23,-2.99,17.86,-5.67,16.99,-5.31,17.99,-5.34,10.98,-3.21,9.31,-3.1,9.67,-3.27,8.91,-2.92,9.78,-3.1,9.27,-2.94,9.4,-3.14
0,26.64,16.38,-6.35,17.7,-5.15,17.6,-5.28,12.16,-3.31,20.71,-5.32,17.21,-5.28,18.33,-4.98,13.45,-4.33,13.2,-3.87,14.22,-4.43,15.16,-4.04,14.47,-4.09,13.16,-3.89,14.08,-3.98
4.44,64.56,13.75,-5.04,13.87,-4.84,15.77,-5.34,6.06,-1.99,15.89,-4.97,15.43,-5.07,15.98,-5.0,15.4,-4.3,14.24,-3.92,15.81,-4.42,16.41,-4.16,16.04,-4.12,13.57,-3.74,18.05,-4.97
0,42.57,12.83,-5.3,14.51,-4.76,14.56,-4.93,9.0,-2.81,14.8,-5.01,14.89,-4.96,14.35,-4.03,11.94,-3.54,9.96,-3.22,10.93,-3.42,11.11,-3.15,11.48,-3.35,9.96,-3.37,10.97,-3.65
20,55.27,12.33,-5.02,12.84,-4.98,15.58,-5.2,7.97,-2.49,15.3,-5.11,15.06,-4.95,16.14,-5.13,14.3,-3.68,12.48,-3.75,16.16,-4.34,15.52,-4.16,14.77,-4.48,11.62,-3.58,14.96,-4.41
17.78,22.87,15.48,-6.51,18.82,-5.88,16.53,-5.69,12.28,-3.9,16.78,-5.68,17.17,-6.09,17.51,-5.74,3.38,-1.09,3.4,-1.21,0.26,-1.55,0.59,-1.95,3.08,-1.43,0.4,-1.11,3.25,-1.19
13.33,49.97,14.68,-5.62,14.66,-5.44,15.68,-4.97,8.14,-2.38,15.14,-5.04,15.61,-5.04,16.11,-5.45,3.55,-1.42,3.81,-1.41,3.26,-1.25,3.24,-1.24,3.76,-1.62,3.74,-1.27,3.95,-1.43
17.78,66.87,11.25,-4.66,12.61,-4.41,13.75,-5.05,4.54,-1.54,12.34,-4.53,13.6,-4.47,13.51,-4.74,5.17,-1.67,4.78,-1.6,4.35,-1.48,4.11,-1.49,4.43,-1.84,3.82,-1.32,4.88,-1.68
2.22,58.1,10.59,-4.06,12.12,-4.43,13.23,-4.77,5.39,-1.89,11.74,-4.24,12.0,-4.13,13.04,-4.42,3.77,-1.34,3.79,-1.33,3.24,-1.23,3.13,-1.25,3.86,-1.57,3.55,-1.26,3.79,-1.43
20,48.72,10.57,-5.29,11.5,-5.38,13.55,-6.19,7.44,-3.1,13.1,-5.57,13.44,-5.49,12.52,-6.12,12.69,-4.92,11.34,-4.63,13.39,-4.73,13.54,-4.2,12.64,-4.07,9.93,-4.23,12.54,-4.83
15.56,38.27,34.92,-4.22,11.82,-5.62,12.78,-5.93,7.92,-3.6,12.05,-6.4,12.33,-5.86,13.26,-6.29,0.7,-1.84,0.17,-1.49,0.2,-1.82,0.68,-1.32,2.23,-1.79,0.13,-1.26,0.71,-1.26
20,37.21,41.84,-4.26,11.84,-6.05,13.81,-6.0,7.61,-3.64,13.49,-5.73,13.46,-6.01,13.94,-6.5,7.8,-1.54,3.25,-1.59,3.01,-1.5,2.85,-1.63,3.26,-1.74,0.02,-1.85,2.96,-1.92
4.44,58.36,9.62,-5.14,11.9,-5.95,13.12,-6.41,6.13,-2.87,11.44,-5.47,13.09,-5.61,12.94,-5.9,2.84,-1.87,2.85,-1.46,2.32,-1.88,2.79,-1.73,3.19,-1.9,2.57,-1.85,2.73,-2.08
15.56,29.65,11.47,-6.0,12.6,-6.17,13.37,-6.4,8.6,-4.03,13.7,-6.42,13.45,-6.17,15.04,-6.72,9.07,-3.52,7.69,-3.46,8.23,-3.76,7.06,-3.31,6.55,-3.58,5.97,-2.92,8.16,-3.9
6.67,51.16,42.9,-4.37,13.48,-5.9,13.41,-6.12,7.06,-3.38,13.1,-5.57,14.0,-5.72,13.18,-6.44,14.66,-1.45,10.32,-1.4,3.36,-2.05,3.54,-2.11,4.03,-2.3,3.59,-1.79,3.86,-2.21
2.22,28.48,34.13,-4.7,48.78,-4.64,15.57,-7.1,10.14,-4.22,17.2,-7.16,15.04,-6.58,14.03,-6.57,28.8,-2.78,38.94,-2.39,32.57,-2.62,7.59,-3.39,7.79,-3.73,7.26,-3.55,8.59,-3.65
11.11,49.53,12.2,-6.46,14.14,-6.7,15.79,-6.81,7.61,-3.15,14.11,-5.84,14.87,-6.46,14.69,-6.65,10.95,-4.22,10.36,-4.12,12.03,-5.08,10.23,-4.15,10.06,-4.55,8.16,-3.7,10.85,-4.32
2.22,61.02,11.73,-6.29,12.81,-6.55,12.93,-6.33,5.25,-2.51,12.59,-5.75,13.74,-6.14,12.9,-6.31,6.69,-2.65,5.38,-2.75,5.91,-2.76,6.08,-2.59,5.89,-3.09,5.66,-2.59,5.94,-3.11
13.33,63.94,10.41,-5.57,12.07,-5.54,13.06,-5.97,5.33,-2.34,12.52,-5.6,13.22,-5.67,14.11,-6.45,11.08,-4.44,8.8,-3.96,10.42,-4.26,8.52,-4.09,9.42,-4.13,7.56,-2.99,11.89,-4.43
4.44,53.0984,10.93,-5.59,11.71,-5.6,12.93,-6.33,7.08,-3.17,12.35,-6.04,12.21,-5.72,12.87,-6.01,5.17,-2.2,3.94,-2.35,4.12,-2.36,4.57,-2.09,4.64,-2.6,4.26,-1.95,4.47,-2.5
6.67,25.22,11.31,-5.79,12.81,-6.41,13.76,-6.73,8.98,-4.3,13.65,-6.53,13.74,-6.01,14.48,-6.16,10.16,-4.24,8.38,-3.67,9.75,-3.86,8.84,-3.3,9.19,-3.91,8.08,-3.44,9.27,-4.06
0,54.72,10.92,-5.98,12.62,-5.52,14.12,-6.59,6.51,-2.91,13.73,-6.27,12.72,-5.96,13.12,-5.99,8.24,-3.43,7.08,-3.1,7.99,-3.4,7.82,-2.91,8.32,-3.54,7.2,-3.13,7.92,-3.54
15.56,52.73,11.45,-5.47,12.49,-5.47,13.06,-6.38,6.44,-3.08,12.36,-6.04,12.8,-5.6,13.38,-6.11,12.16,-4.97,11.54,-4.3,12.8,-5.34,12.72,-4.56,11.75,-4.38,9.21,-3.92,12.33,-5.03
8.89,47.62,10.67,-5.46,12.26,-5.48,13.2,-6.45,7.5,-3.42,12.48,-6.11,12.21,-5.72,11.98,-6.41,3.65,-1.82,3.48,-1.7,3.24,-1.73,3.43,-1.6,3.76,-1.97,3.04,-1.63,3.58,-1.87
15.56,37.68,10.93,-5.84,12.38,-5.79,13.84,-6.31,8.87,-3.69,13.73,-6.13,12.66,-5.54,13.18,-6.44,5.76,-2.81,5.61,-2.5,5.51,-2.57,4.91,-2.2,5.06,-2.64,4.1,-2.05,5.47,-2.68
13.33,49.17,11.11,-5.69,11.52,-5.89,13.96,-6.51,7.45,-3.33,13.6,-6.21,13.32,-5.83,10.88,-4.4,3.75,-1.6,3.26,-1.82,3.12,-1.78,3.13,-1.75,3.61,-1.69,2.79,-1.7,3.37,-2.05
15.56,31.82,11.78,-5.89,12.79,-5.86,14.31,-6.53,8.62,-3.77,12.58,-5.24,13.51,-5.79,13.71,-6.12,3.84,-2.24,4.02,-1.92,3.62,-1.9,3.21,-2.11,3.77,-2.24,2.87,-2.06,4.11,-2.01
8.89,59.3,10.76,-5.63,12.92,-5.93,13.2,-5.9,6.11,-2.73,11.74,-5.62,12.0,-5.5,12.8,-5.72,3.57,-2.41,4.0,-1.79,3.77,-1.84,3.12,-2.32,3.91,-2.14,2.85,-2.18,3.41,-2.39
